다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
동구,"23,123",66,4,48,60,2
북구,"21,490",151,2,23,143,6
울주군,"37,757",413,2,34,404,7
세종 합계,"40,219",515,0,0,508,7
세종시,"40,219",515,0,0,508,7
경기 합계,"1,992,807","10,267",63,"3,725","10,053",151
수원시,"147,122",534,6,501,517,11
성남시,"144,800",380,6,293,370,4
의정부시,"77,555",266,3,181,250,13
안양시,"84,390",243,1,82,240,2
부천시,"125,752",376,3,302,368,5
광명시,"45,128",120,2,160,114,4
평택시,"73,372",618,4,90,614,0
동두천시,"20,464",115,1,131,109,5
안산시,"81,511",268,3,99,261,4
고양시,"163,080",584,3,248,574,7
과천시,"11,140",36,1,83,34,1
구리시,"29,173",131,0,0,127,4
남양주시,"115,165",559,3,197,550,6
오산시,"25,237",144,1,22,136,7
시흥시,"54,756",310,1,61,303,6
군포시,"40,752",121,2,122,118,1
의왕시,"24,954",114,2,132,110,2
하남시,"44,618",166,1,14,165,0
용인시,"157,226",874,3,121,869,2
파주시,"73,543",419,1,113,415,3
이천시,"34,750",413,1,27,410,2
안성시,"36,284",483,1,71,477,5
김포시,"66,858",369,2,64,361,6
화성시,"89,334",740,3,244,716,21
광주시,"59,448",298,1,41,296,1
양주시,"41,886",282,2,20,265,15
포천시,"32,863",308,1,19,307,0
여주시,"27,269",337,1,60,334,2
연천군,"12,319",110,1,91,108,1
가평군,"17,841",170,2,76,167,1
양평군,"34,217",379,1,60,368,10
강원 합계,"349,874","3,384",16,539,"3,303",65
춘천시,"55,802",373,4,245,367,2
원주시,"60,755",480,1,27,470,9
강릉시,"49,575",316,2,23,309,5
동해시,"19,983",138,2,39,132,4
태백시,"10,964",111,1,7,106,4
속초시,"17,551",96,1,13,95,0
삼척시,"17,460",247,2,28,241,4
홍천군,"20,163",208,1,80,206,1
횡성군,"15,222",206,0,0,194,12
영월군,"12,211",191,0,0,183,8
평창군,"12,896",187,0,0,187,0
정선군,"10,846",178,0,0,168,10
철원군,"10,657",131,0,0,126,5
화천군,"5,909",92,0,0,92,0
양구군,"5,072",92,0,0,92,0
인제군,"7,269",88,0,0,88,0
고성군,"8,517",114,1,61,113,0
양양군,"9,022",136,1,16,134,1
충북 합계,"316,939","4,258",21,633,"4,227",10
청주시,"127,054","1,076",6,89,"1,070",0
충주시,"45,952",560,1,85,554,5
제천시,"32,145",344,3,180,339,2
보은군,"11,795",291,3,43,288,0
옥천군,"16,265",311,1,14,310,0
영동군,"15,767",352,1,16,349,2
증평군,"7,264",120,1,9,119,0
진천군,"15,286",293,1,77,292,0
괴산군,"13,947",340,1,14,339,0
음성군,"21,808",405,1,81,403,1
단양군,"9,656",166,2,25,164,0
충남 합계,"436,895","5,956",19,531,"5,878",59
천안시,"80,766",754,2,37,747,5
공주시,"29,452",436,1,19,431,4
보령시,"27,741",418,3,36,414,1
아산시,"47,012",543,2,37,539,2
서산시,"35,323",399,0,0,390,9
논산시,"32,616",523,0,0,520,3
계룡시,"5,974",41,1,38,39,1
당진시,"33,915",369,2,117,348,19
금산군,"17,077",345,0,0,345,0
부여군,"23,657",471,1,11,466,4
서천군,"19,592",348,1,28,342,5
청양군,"11,506",309,1,13,308,0
홍성군,"25,234",373,1,65,370,2
예산군,"26,059",383,1,12,382,0
태안군,"20,971",244,3,118,237,4
전북 합계,"410,619","6,903",25,569,"6,818",60
전주시,"107,357",662,6,95,650,6
군산시,"54,997",535,3,55,525,7
익산시,"60,045",710,4,89,687,19
정읍시,"31,356",717,3,96,706,8
남원시,"23,691",498,1,88,495,2
김제시,"27,495",630,1,13,628,1
완주군,"22,950",452,0,0,446,6
진안군,"9,260",339,1,14,333,5
무주군,"8,393",271,1,8,269,1
장수군,"7,852",280,1,9,279,0
임실군,"10,270",354,2,76,350,2
순창군,"9,647",371,0,0,370,1
고창군,"19,364",605,1,15,603,1
부안군,"17,942",479,1,11,477,1
전남 합계,"457,481","9,244",30,782,"9,175",39
목포시,"40,805",214,4,320,201,9
여수시,"58,798",529,3,134,526,0
순천시,"48,061",693,4,45,686,3
나주시,"27,488",616,2,38,614,0
광양시,"22,331",336,3,41,333,0
담양군,"15,058",368,1,11,367,0
곡성군,"10,368",321,0,0,321,0
구례군,"9,069",287,0,0,287,0
고흥군,"26,717",647,1,11,644,2
보성군,"15,834",451,1,9,450,0
화순군,"17,681",440,1,90,437,2
장흥군,"13,061",408,1,10,407,0
강진군,"12,278",343,0,0,340,3
해남군,"22,912",601,1,14,595,5
영암군,"14,929",467,1,5,466,0
무안군,"18,423",419,2,6,413,4
함평군,"12,051",380,1,9,376,3
영광군,"15,999",379,1,6,378,0
장성군,"13,879",341,1,8,340,0
완도군,"16,544",309,0,0,309,0
진도군,"10,540",281,2,25,279,0
신안군,"14,655",414,0,0,406,8
경북 합계,"618,275","8,344",23,283,"8,213",108
포항시,"98,684",640,1,19,626,13
경주시,"61,861",637,1,9,633,3
김천시,"34,794",530,1,24,527,2
안동시,"41,265",557,1,7,538,18
구미시,"45,239",421,1,14,418,2
영주시,"29,754",372,1,16,363,8
영천시,"30,867",433,1,1,425,7
상주시,"31,923",590,1,13,589,0
문경시,"22,867",396,1,8,388,7
경산시,"49,716",401,2,30,387,12
군위군,"10,065",213,1,10,212,0
의성군,"22,213",489,3,23,485,1
청송군,"9,822",231,1,8,224,6
영양군,"6,406",181,1,7,178,2
영덕군,"14,006",245,0,0,243,2
청도군,"16,896",319,1,4,318,0
고령군,"10,497",211,0,0,210,1
성주군,"14,978",288,0,0,287,1
칠곡군,"20,009",267,1,3,264,2
예천군,"17,638",378,1,11,371,6
봉화군,"11,980",264,1,70,257,6
울진군,"14,284",255,1,3,248,6
울릉군,"2,511",26,1,3,22,3
경남 합계,"638,801","7,638",20,270,"7,533",85
창원시,"170,273","1,058",8,116,"1,024",26
진주시,"64,338",567,3,16,554,10
통영시,"27,521",254,0,0,253,1
사천시,"26,332",346,0,0,341,5
김해시,"70,208",571,3,71,568,0
밀양시,"32,434",441,0,0,440,1
거제시,"31,230",333,0,0,320,13
양산시,"55,667",326,2,34,320,4
의령군,"10,312",296,0,0,296,0
함안군,"17,378",329,0,0,328,1
창녕군,"20,157",401,0,0,401,0
고성군,"17,031",333,0,0,330,3
남해군,"16,712",271,1,3,257,13
하동군,"16,129",385,1,8,382,2
산청군,"13,518",348,0,0,345,3
함양군,"13,769",412,0,0,409,3
거창군,"18,035",439,1,13,438,0
합천군,"17,757",528,1,9,527,0
제주 합계,"115,768",493,2,29,465,26
제주시,"77,364",328,1,17,313,14
서귀포시,"38,404",165,1,12,152,12
