다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
시 · 도,"65세 이상노인인구
(2022.12.31
주민등록 인구기준)",합 계,노 인 복 지 관,,경 로 당,노 인 교 실
,,,시설수,종사자수,,
서울 합계,"1,658,207","3,868",36,"2,057","3,490",342
종로구,"27,704",73,2,154,62,9
중구,"24,660",54,1,67,50,3
용산구,"38,478",110,1,48,89,20
성동구,"47,530",177,1,68,164,12
광진구,"53,737",106,1,61,97,8
동대문구,"64,255",153,1,106,136,16
중랑구,"74,790",144,2,103,131,11
성북구,"77,293",188,1,91,180,7
강북구,"66,170",119,1,36,100,18
도봉구,"66,942",141,1,61,136,4
노원구,"91,946",261,1,102,245,15
은평구,"89,422",179,1,118,161,17
서대문구,"55,502",129,1,39,117,11
마포구,"55,533",172,2,50,157,13
양천구,"72,235",177,3,141,152,22
강서구,"96,880",216,1,32,190,25
구로구,"74,491",226,1,66,206,19
금천구,"42,226",82,2,133,73,7
영등포구,"63,349",204,1,68,179,24
동작구,"67,872",155,1,80,141,13
관악구,"81,848",131,1,81,113,17
서초구,"62,228",148,3,121,139,6
강남구,"81,564",184,3,67,162,19
송파구,"103,361",193,1,36,176,16
강동구,"78,191",146,2,128,134,10
부산 합계,"712,412","2,558",35,803,"2,366",157
중구,"11,468",33,2,21,31,0
서구,"28,432",83,2,79,77,4
동구,"24,354",86,3,33,77,6
영도구,"32,778",86,2,87,72,12
부산진구,"75,685",285,3,57,266,16
동래구,"54,881",157,1,13,143,13
남구,"56,961",189,2,78,174,13
북구,"55,768",168,1,14,148,19
해운대구,"76,256",268,3,42,246,19
사하구,"65,745",207,3,47,196,8
금정구,"52,128",142,1,67,128,13
강서구,"18,996",172,3,35,165,4
연제구,"44,099",136,2,35,123,11
수영구,"40,697",99,2,27,90,7
사상구,"42,960",145,2,81,133,10
기장군,"31,204",302,3,87,297,2
대구 합계,"435,698","1,609",19,260,"1,560",30
중구,"16,107",58,1,18,50,7
동구,"73,354",228,3,33,223,2
서구,"40,897",92,3,34,80,9
남구,"35,590",72,1,11,67,4
북구,"70,487",289,4,53,284,1
수성구,"72,078",258,3,49,250,5
달서구,"89,178",279,2,31,276,1
달성군,"38,007",333,2,31,330,1
인천 합계,"463,850","1,589",25,501,"1,539",25
중구,"23,366",93,1,17,89,3
동구,"14,703",42,2,56,39,1
미추홀구,"75,765",171,5,54,163,3
연수구,"44,014",166,3,41,162,1
남동구,"80,000",194,1,30,186,7
부평구,"81,584",191,3,28,181,7
계양구,"43,724",159,4,50,155,0
서구,"69,831",260,4,186,254,2
강화군,"24,763",240,2,39,237,1
옹진군,"6,100",73,0,0,73,0
광주 합계,"222,970","1,425",10,403,"1,371",44
동구,"23,419",129,1,22,119,9
서구,"45,985",247,2,91,236,9
남구,"40,740",264,3,162,254,7
북구,"70,834",398,2,95,379,17
광산구,"41,992",387,2,33,383,2
대전 합계,"232,663",862,8,479,840,14
동구,"45,895",172,2,304,168,2
중구,"48,714",149,1,95,146,2
서구,"67,924",213,2,29,210,1
유성구,"38,846",204,2,28,193,9
대덕구,"31,284",124,1,23,123,0
울산 합계,"163,812",873,14,207,841,18
중구,"37,123",92,2,28,89,1
남구,"44,319",151,4,74,145,2
