다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
시 · 도,"65세 이상노인인구
(2021.12.31
주민등록 인구기준)",합 계,노 인 복 지 관,,경 로 당,노 인 교 실
,,,시설수,종사자수,,
서울 합계,"1,597,447","3,869",36,"2,294","3,487",346
종로구,"27,609",74,2,147,62,10
중구,"24,037",54,1,70,50,3
용산구,"38,552",111,1,48,89,21
성동구,"46,201",177,1,68,164,12
광진구,"51,450",104,1,61,95,8
동대문구,"62,009",148,1,108,131,16
중랑구,"71,560",141,2,138,128,11
성북구,"74,545",184,1,169,177,6
강북구,"64,218",118,1,36,100,17
도봉구,"64,114",145,1,61,136,8
노원구,"88,271",261,1,103,246,14
은평구,"87,038",175,1,114,157,17
서대문구,"53,822",125,1,89,112,12
마포구,"54,231",170,2,48,155,13
양천구,"68,483",190,3,141,164,23
강서구,"92,336",245,1,92,219,25
구로구,"71,445",222,1,65,201,20
금천구,"40,442",84,2,125,73,9
영등포구,"61,295",199,1,64,175,23
동작구,"66,320",151,1,81,141,9
관악구,"79,371",131,1,81,113,17
서초구,"60,574",145,3,108,136,6
강남구,"78,078",190,3,67,167,20
송파구,"97,503",189,1,85,172,16
강동구,"73,943",136,2,125,124,10
부산 합계,"681,885","2,530",32,601,"2,340",158
중구,"11,206",33,2,21,31,0
서구,"27,529",80,2,27,74,4
동구,"23,760",83,3,31,75,5
영도구,"31,981",85,2,83,71,12
부산진구,"72,339",285,3,59,266,16
동래구,"51,829",152,1,13,138,13
남구,"55,386",186,1,25,172,13
북구,"52,506",166,1,52,147,18
해운대구,"73,306",266,3,42,244,19
사하구,"62,278",206,3,39,195,8
금정구,"50,401",145,1,23,130,14
강서구,"17,845",168,2,27,162,4
연제구,"42,313",136,1,12,123,12
수영구,"38,971",99,2,27,90,7
사상구,"40,878",146,2,75,133,11
기장군,"29,357",294,3,45,289,2
대구 합계,"417,060","1,584",19,229,"1,534",31
중구,"15,696",56,1,16,48,7
동구,"70,449",219,3,32,214,2
서구,"39,578",92,3,27,80,9
남구,"34,614",72,1,8,67,4
북구,"67,236",283,4,45,278,1
수성구,"69,185",256,3,45,248,5
달서구,"84,772",277,2,26,273,2
달성군,"35,530",329,2,30,326,1
인천 합계,"435,431","1,571",24,559,"1,516",31
중구,"21,735",91,1,17,87,3
동구,"14,670",40,2,53,37,1
미추홀구,"72,320",172,5,54,164,3
연수구,"41,021",158,3,82,154,1
남동구,"75,633",189,1,28,181,7
부평구,"76,493",196,2,86,187,7
계양구,"40,840",161,4,50,151,6
서구,"63,203",251,4,146,245,2
강화군,"23,751",240,2,43,237,1
옹진군,"5,765",73,0,0,73,0
광주 합계,"213,291","1,403",9,228,"1,348",46
동구,"22,646",126,1,23,116,9
서구,"43,949",245,1,27,235,9
남구,"39,103",255,3,103,246,6
북구,"67,575",394,2,45,373,19
광산구,"40,018",383,2,30,378,3
대전 합계,"221,207",850,8,142,828,14
동구,"44,157",171,2,31,167,2
중구,"47,147",147,1,29,144,2
서구,"64,348",212,2,32,209,1
유성구,"36,061",201,2,27,190,9
대덕구,"29,494",119,1,23,118,0
울산 합계,"152,961",873,14,199,837,22
중구,"35,062",92,2,30,88,2
남구,"41,430",152,4,68,145,3
동구,"21,417",67,4,47,60,3
북구,"19,728",148,2,22,140,6
울주군,"35,324",414,2,32,404,8
세종 합계,"37,463",504,0,0,498,6
세종시,"37,463",504,0,0,498,6
경기 합계,"1,881,464","10,133",62,"3,586","9,920",151
수원시,"139,075",532,6,488,514,12
성남시,"138,091",394,6,220,384,4
의정부시,"73,525",259,3,121,243,13
안양시,"79,282",237,1,81,234,2
부천시,"118,668",377,3,299,369,5
광명시,"43,045",119,2,157,114,3
평택시,"70,123",611,4,83,607,0
동두천시,"19,926",116,1,115,110,5
안산시,"76,366",263,3,124,256,4
고양시,"154,134",579,3,247,569,7
과천시,"10,358",32,1,73,30,1
구리시,"27,820",133,0,0,129,4
남양주시,"108,285",545,3,201,536,6
오산시,"23,589",141,1,23,133,7
시흥시,"50,915",300,1,57,294,5
군포시,"38,296",122,2,74,119,1
의왕시,"23,644",110,2,57,106,2
하남시,"41,540",156,1,10,155,0
용인시,"150,263",866,3,163,861,2
파주시,"69,084",410,1,113,406,3
이천시,"33,034",414,1,108,411,2
안성시,"34,629",478,1,67,472,5
김포시,"62,780",356,2,116,348,6
화성시,"82,470",724,3,213,698,23
광주시,"55,328",293,1,39,291,1
양주시,"39,036",276,1,25,260,15
포천시,"31,080",315,1,50,305,9
여주시,"25,854",330,1,44,327,2
연천군,"11,814",110,1,88,108,1
가평군,"17,035",170,2,74,167,1
양평군,"32,375",365,1,56,364,0
강원 합계,"333,176","3,333",16,304,"3,254",63
춘천시,"52,955",367,4,66,361,2
원주시,"56,771",468,1,27,458,9
강릉시,"47,318",314,2,24,307,5
동해시,"19,039",133,2,37,127,4
태백시,"10,802",110,1,7,105,4
속초시,"16,673",95,1,13,94,0
삼척시,"16,884",245,2,26,240,3
홍천군,"19,086",206,1,80,204,1
횡성군,"14,453",202,0,0,190,12
영월군,"11,735",189,0,0,181,8
평창군,"12,293",182,0,0,182,0
정선군,"10,423",174,0,0,164,10
철원군,"10,318",129,0,0,125,4
화천군,"5,727",92,0,0,92,0
양구군,"4,893",91,0,0,91,0
인제군,"6,899",88,0,0,88,0
고성군,"8,236",112,1,8,111,0
양양군,"8,671",136,1,16,134,1
충북 합계,"301,516","4,243",21,685,"4,213",9
청주시,"119,867","1,070",6,89,"1,064",0
충주시,"43,795",558,1,92,552,5
제천시,"30,632",343,3,169,338,2
보은군,"11,506",291,3,115,288,0
옥천군,"15,581",310,1,14,309,0
영동군,"15,295",351,1,17,348,2
증평군,"6,782",119,1,9,118,0
진천군,"14,427",292,1,72,291,0
괴산군,"13,562",340,1,13,339,0
음성군,"20,783",403,1,76,402,0
단양군,"9,286",166,2,19,164,0
충남 합계,"419,979","5,921",19,522,"5,837",65
천안시,"76,090",748,2,38,741,5
공주시,"28,478",435,1,17,430,4
보령시,"26,851",415,3,30,412,0
아산시,"44,602",531,2,34,527,2
서산시,"33,834",396,0,0,387,9
논산시,"31,783",528,0,0,518,10
계룡시,"5,506",41,1,39,39,1
당진시,"32,517",366,2,110,345,19
금산군,"16,507",340,0,0,340,0
부여군,"23,199",469,1,10,464,4
서천군,"19,315",344,1,27,338,5
청양군,"11,292",309,1,12,308,0
홍성군,"24,603",374,1,66,371,2
예산군,"25,262",382,1,106,381,0
태안군,"20,140",243,3,33,236,4
전북 합계,"397,619","6,431",25,704,"6,346",60
전주시,"102,985",655,6,146,642,7
군산시,"52,714",529,2,48,520,7
익산시,"58,099",709,4,80,684,21
정읍시,"30,561",717,4,94,705,8
남원시,"23,223",498,1,89,495,2
김제시,"26,783",629,1,13,627,1
완주군,"22,195",0,0,0,0,0
진안군,"9,053",337,1,14,331,5
무주군,"8,153",271,1,112,269,1
장수군,"7,716",279,1,8,278,0
임실군,"10,105",354,2,75,350,2
순창군,"9,481",372,0,0,371,1
