다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
고창군,"19,042",602,1,15,599,2
부안군,"17,509",479,1,10,475,3
전남 합계,"445,198","9,195",28,760,"9,132",35
목포시,"39,063",212,4,310,197,11
여수시,"56,362",528,3,129,525,0
순천시,"46,062",686,3,28,680,3
나주시,"26,740",615,2,37,613,0
광양시,"20,994",329,2,42,327,0
담양군,"14,662",367,1,8,366,0
곡성군,"10,233",324,0,0,324,0
구례군,"8,968",284,0,0,284,0
고흥군,"26,507",646,1,10,644,1
보성군,"15,714",451,1,9,450,0
화순군,"17,232",438,1,15,435,2
장흥군,"13,022",408,1,11,407,0
강진군,"12,131",341,0,0,338,3
해남군,"22,562",601,1,101,595,5
영암군,"14,648",463,1,4,462,0
무안군,"17,986",412,2,12,410,0
함평군,"11,867",377,1,9,374,2
영광군,"15,641",377,1,0,376,0
장성군,"13,536",341,1,7,340,0
완도군,"16,452",307,0,0,307,0
진도군,"10,405",280,2,28,278,0
신안군,"14,411",408,0,0,400,8
경북 합계,"596,312","8,308",22,255,"8,177",109
포항시,"93,477",635,1,17,622,12
경주시,"59,645",634,1,10,629,4
김천시,"33,668",527,1,14,525,1
안동시,"40,332",554,1,7,535,18
구미시,"42,574",416,1,15,413,2
영주시,"28,900",371,1,16,362,8
영천시,"29,930",433,1,1,425,7
상주시,"31,130",589,1,8,588,0
문경시,"22,337",395,1,10,387,7
경산시,"47,417",399,2,31,385,12
군위군,"9,719",212,1,10,211,0
의성군,"21,861",489,3,24,485,1
청송군,"9,530",227,0,0,221,6
영양군,"6,310",179,1,7,176,2
영덕군,"13,843",244,0,0,242,2
청도군,"16,444",321,1,4,319,1
고령군,"10,165",209,0,0,208,1
성주군,"14,413",288,0,0,287,1
칠곡군,"19,201",264,1,2,261,2
예천군,"17,236",376,1,12,369,6
봉화군,"11,777",264,1,65,257,6
울진군,"14,013",256,1,2,248,7
울릉군,"2,390",26,1,0,22,3
경남 합계,"608,379","7,599",20,274,"7,490",89
창원시,"160,521","1,056",8,112,"1,021",27
진주시,"61,615",557,3,16,544,10
통영시,"26,428",254,0,0,252,2
사천시,"25,437",344,0,0,339,5
김해시,"65,524",569,3,73,565,1
밀양시,"31,006",435,0,0,434,1
거제시,"28,842",329,0,0,316,13
양산시,"51,977",316,2,34,310,4
의령군,"10,114",293,0,0,293,0
함안군,"16,739",334,0,0,332,2
창녕군,"19,600",401,0,0,401,0
고성군,"16,543",328,0,0,325,3
남해군,"16,448",271,1,4,257,13
하동군,"15,781",385,1,11,382,2
산청군,"13,175",348,0,0,345,3
함양군,"13,494",411,0,0,408,3
거창군,"17,545",441,1,13,440,0
합천군,"17,590",527,1,11,526,0
제주 합계,"110,645",476,2,33,454,20
제주시,"73,797",322,1,19,306,15
서귀포시,"36,848",154,1,14,148,5
