"자치구별(1)",자치구별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)",자치구별(2),소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,한센병원,한센병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
"자치구별(1)",자치구별(2),병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
"서울시",소계,18777,90308,56,33800,228,16830,9668,9099,67,1,108,20304,2,552,1,414,-,-,12,2455,60,73,4863,56,85,5250,3624,1467,3,7
"서울시",종로구,482,3711,4,3026,2,238,203,98,9,-,1,96,-,-,-,-,-,-,-,-,1,40,147,-,2,193,113,20,-,-
"서울시",중구,595,992,1,499,3,239,270,168,16,-,-,-,-,-,-,-,-,-,-,-,6,-,201,-,1,50,97,36,-,-
"서울시",용산구,327,863,1,725,1,48,157,79,2,-,-,-,-,-,-,-,-,-,-,-,-,-,102,-,-,-,63,10,1,1
"서울시",성동구,478,1830,1,862,5,353,245,102,-,-,3,504,-,-,-,-,-,-,-,-,1,-,127,-,-,-,96,9,-,-
"서울시",광진구,579,2580,2,1072,4,227,294,457,-,-,2,489,-,-,-,-,-,-,1,200,2,-,150,-,2,102,122,33,-,-
"서울시",동대문구,609,5349,4,1739,13,1178,268,368,-,-,7,1323,-,-,-,-,-,-,2,490,4,12,162,-,2,160,146,74,1,5
"서울시",중랑구,557,3349,3,1067,13,1016,261,561,-,-,2,314,-,-,-,-,-,-,1,260,-,-,163,-,1,45,113,86,-,-
"서울시",성북구,542,3604,1,1056,6,441,255,354,1,-,8,1625,-,-,-,-,-,-,-,-,1,-,149,-,2,107,119,21,-,-
"서울시",강북구,467,2310,1,201,9,890,231,373,-,-,4,734,-,-,-,-,-,-,-,-,1,-,126,1,1,58,94,53,-,-
"서울시",도봉구,381,2564,1,368,4,585,176,85,-,-,5,723,1,148,-,-,-,-,2,375,1,-,106,-,4,280,81,-,-,-
"서울시",노원구,753,3461,3,1503,5,286,383,429,-,-,6,1014,-,-,-,-,-,-,-,-,3,-,200,-,4,188,149,41,-,-
"서울시",은평구,709,3546,2,977,9,546,334,316,-,-,5,905,-,-,1,414,-,-,1,203,1,-,197,-,2,84,157,101,-,-
"서울시",서대문구,442,4114,2,2665,5,269,207,272,-,-,5,713,-,-,-,-,-,-,-,-,2,7,129,-,2,161,89,26,1,1
"서울시",마포구,770,1032,-,-,5,282,404,88,1,-,3,322,-,-,-,-,-,-,-,-,3,-,198,-,3,248,153,92,-,-
"서울시",양천구,675,2888,3,1213,5,451,317,303,-,-,3,720,-,-,-,-,-,-,-,-,3,-,184,-,4,189,156,12,-,-
"서울시",강서구,934,5152,4,1385,18,1301,458,550,2,-,5,1024,-,-,-,-,-,-,1,163,3,-,242,-,8,519,193,210,-,-
"서울시",구로구,596,4776,2,1283,8,592,288,304,2,-,7,1894,1,404,-,-,-,-,1,167,1,-,173,-,1,54,112,78,-,-
"서울시",금천구,365,2125,1,225,4,339,172,240,-,-,4,663,-,-,-,-,-,-,1,216,-,-,106,-,4,397,73,45,-,-
"서울시",영등포구,797,5520,7,2013,9,796,379,340,10,-,9,1954,-,-,-,-,-,-,1,180,-,-,230,-,4,197,148,40,-,-
"서울시",동작구,594,2483,2,1562,4,198,278,247,-,-,2,355,-,-,-,-,-,-,-,-,2,-,171,-,1,48,134,73,-,-
"서울시",관악구,712,2280,1,289,12,940,346,294,3,-,2,397,-,-,-,-,-,-,-,-,1,-,202,-,4,178,141,182,-,-
"서울시",서초구,1416,3834,1,1370,14,1090,817,445,8,-,4,618,-,-,-,-,-,-,-,-,5,-,307,17,6,265,254,29,-,-
"서울시",강남구,2866,8559,4,3248,35,2237,1892,1352,6,1,7,1082,-,-,-,-,-,-,-,-,13,5,526,38,9,563,374,33,-,-
"서울시",송파구,1256,7179,2,3144,20,1413,619,668,4,-,9,1198,-,-,-,-,-,-,1,201,3,-,332,-,9,505,257,50,-,-
"서울시",강동구,875,6207,3,2308,15,875,414,606,3,-,5,1637,-,-,-,-,-,-,-,-,3,9,233,-,9,659,190,113,-,-
