다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
평창군,"11,200 ",180 ,0 ,0 ,180 ,0 
정선군,"9,837 ",167 ,0 ,0 ,158 ,9 
철원군,"9,830 ",125 ,0 ,0 ,122 ,3 
화천군,"5,319 ",88 ,0 ,0 ,88 ,0 
양구군,"4,493 ",91 ,0 ,0 ,91 ,0 
인제군,"6,194 ",87 ,0 ,0 ,87 ,0 
고성군,"7,659 ",111 ,1 ,8 ,110 ,0 
양양군,"7,945 ",130 ,1 ,34 ,129 ,0 
충북합계,"273,425 ","4,202 ",19 ,532 ,"4,175 ",8 
청주시,"106,373 ","1,062 ",6 ,110 ,"1,056 ",0 
충주시,"39,811 ",550 ,1 ,98 ,544 ,5 
제천시,"27,790 ",340 ,2 ,54 ,337 ,1 
보은군,"10,909 ",290 ,3 ,110 ,287 ,0 
옥천군,"14,557 ",306 ,1 ,12 ,305 ,0 
영동군,"14,601 ",350 ,1 ,16 ,347 ,2 
증평군,"6,143 ",117 ,1 ,10 ,116 ,0 
진천군,"13,002 ",292 ,1 ,82 ,291 ,0 
괴산군,"12,527 ",334 ,1 ,13 ,333 ,0 
음성군,"19,067 ",398 ,1 ,16 ,397 ,0 
단양군,"8,645 ",163 ,1 ,11 ,162 ,0 
충남합계,"386,674 ","5,837 ",16 ,396 ,"5,787 ",34 
천안시,"67,177 ",749 ,2 ,38 ,741 ,6 
공주시,"26,448 ",425 ,1 ,11 ,421 ,3 
보령시,"24,988 ",406 ,2 ,24 ,403 ,1 
아산시,"40,045 ",527 ,2 ,33 ,524 ,1 
서산시,"31,101 ",386 ,0 ,0 ,384 ,2 
논산시,"30,106 ",520 ,0 ,0 ,517 ,3 
계룡시,"4,764 ",38 ,1 ,23 ,36 ,1 
당진시,"29,933 ",347 ,2 ,82 ,343 ,2 
금산군,"15,613 ",336 ,0 ,0 ,335 ,1 
부여군,"22,051 ",466 ,0 ,0 ,462 ,4 
서천군,"18,417 ",339 ,1 ,64 ,337 ,1 
청양군,"10,762 ",305 ,1 ,10 ,302 ,2 
홍성군,"22,991 ",377 ,1 ,66 ,371 ,5 
예산군,"23,711 ",380 ,1 ,12 ,378 ,1 
태안군,"18,567 ",236 ,2 ,33 ,233 ,1 
전북합계,"370,676 ","6,814 ",21 ,652 ,"6,720 ",73 
전주시,"93,161 ",633 ,6 ,144 ,620 ,7 
군산시,"48,059 ",532 ,2 ,48 ,523 ,7 
익산시,"53,525 ",707 ,3 ,67 ,676 ,28 
정읍시,"29,490 ",712 ,2 ,101 ,700 ,10 
남원시,"22,050 ",494 ,1 ,80 ,491 ,2 
김제시,"25,650 ",624 ,1 ,93 ,622 ,1 
완주군,"20,438 ",445 ,0 ,0 ,438 ,7 
진안군,"8,613 ",331 ,1 ,16 ,326 ,4 
무주군,"7,891 ",272 ,1 ,8 ,270 ,1 
장수군,"7,304 ",276 ,1 ,8 ,275 ,0 
임실군,"9,830 ",348 ,2 ,72 ,344 ,2 
순창군,"9,312 ",373 ,0 ,0 ,372 ,1 
고창군,"18,370 ",592 ,1 ,15 ,591 ,0 
부안군,"16,983 ",475 ,0 ,0 ,472 ,3 
전남합계,"422,548 ","9,137 ",29 ,330 ,"9,064 ",44 
목포시,"36,087 ",203 ,4 ,59 ,188 ,11 
여수시,"51,995 ",526 ,2 ,44 ,524 ,0 
순천시,"42,273 ",679 ,4 ,37 ,673 ,2 
나주시,"25,257 ",611 ,2 ,34 ,609 ,0 
광양시,"19,300 ",327 ,2 ,22 ,324 ,1 
담양군,"13,960 ",364 ,1 ,8 ,363 ,0 
곡성군,"10,084 ",325 ,0 ,0 ,325 ,0 
구례군,"8,676 ",277 ,0 ,0 ,277 ,0 
고흥군,"25,806 ",644 ,1 ,10 ,640 ,3 
보성군,"15,429 ",444 ,1 ,16 ,443 ,0 
화순군,"16,286 ",438 ,1 ,15 ,435 ,2 
장흥군,"12,720 ",406 ,1 ,11 ,405 ,0 
강진군,"11,883 ",341 ,0 ,0 ,338 ,3 
해남군,"21,957 ",594 ,1 ,20 ,588 ,5 
영암군,"14,074 ",456 ,1 ,7 ,455 ,0 
무안군,"16,858 ",416 ,2 ,0 ,409 ,5 
함평군,"11,564 ",378 ,1 ,7 ,375 ,2 
영광군,"15,194 ",374 ,1 ,1 ,373 ,0 
장성군,"13,067 ",340 ,1 ,4 ,339 ,0 
완도군,"15,921 ",306 ,1 ,11 ,305 ,0 
진도군,"10,085 ",276 ,2 ,24 ,274 ,0 
신안군,"14,072 ",412 ,0 ,0 ,402 ,10 
경북합계,"549,415 ","8,219 ",19 ,181 ,"8,087 ",113 
포항시,"82,001 ",630 ,1 ,13 ,619 ,10 
경주시,"54,639 ",628 ,1 ,14 ,623 ,4 
김천시,"31,252 ",524 ,1 ,20 ,522 ,1 
안동시,"37,906 ",545 ,0 ,0 ,527 ,18 
구미시,"37,540 ",413 ,1 ,11 ,410 ,2 
영주시,"27,259 ",365 ,1 ,17 ,355 ,9 
영천시,"27,672 ",427 ,1 ,1 ,419 ,7 
상주시,"29,822 ",590 ,1 ,6 ,586 ,3 
문경시,"20,891 ",393 ,1 ,9 ,384 ,8 
경산시,"42,079 ",396 ,2 ,31 ,382 ,12 
군위군,"9,176 ",211 ,0 ,0 ,211 ,0 
의성군,"21,005 ",489 ,3 ,23 ,485 ,1 
청송군,"9,135 ",222 ,0 ,0 ,216 ,6 
영양군,"6,118 ",165 ,0 ,0 ,163 ,2 
영덕군,"13,458 ",241 ,0 ,0 ,239 ,2 
청도군,"15,541 ",318 ,1 ,4 ,316 ,1 
고령군,"9,648 ",205 ,0 ,0 ,204 ,1 
성주군,"13,477 ",283 ,0 ,0 ,282 ,1 
칠곡군,"17,488 ",261 ,1 ,2 ,257 ,3 
예천군,"16,389 ",368 ,1 ,12 ,362 ,5 
봉화군,"11,222 ",263 ,1 ,15 ,256 ,6 
울진군,"13,356 ",255 ,1 ,2 ,247 ,7 
울릉군,"2,341 ",27 ,1 ,1 ,22 ,4 
경남합계,"548,257 ","7,536 ",19 ,282 ,"7,437 ",80 
창원시,"140,151 ","1,044 ",8 ,105 ,"1,010 ",26 
진주시,"55,899 ",548 ,3 ,25 ,534 ,11 
통영시,"23,895 ",249 ,0 ,0 ,247 ,2 
사천시,"23,428 ",343 ,0 ,0 ,338 ,5 
김해시,"57,532 ",563 ,3 ,75 ,558 ,2 
밀양시,"28,549 ",431 ,0 ,0 ,430 ,1 
거제시,"24,892 ",322 ,0 ,0 ,318 ,4 
양산시,"44,631 ",312 ,2 ,34 ,306 ,4 
의령군,"9,689 ",295 ,0 ,0 ,293 ,2 
함안군,"15,354 ",332 ,0 ,0 ,332 ,0 
창녕군,"18,426 ",401 ,0 ,0 ,401 ,0 
고성군,"15,577 ",325 ,0 ,0 ,322 ,3 
남해군,"15,987 ",266 ,1 ,3 ,253 ,12 
하동군,"15,120 ",385 ,1 ,26 ,382 ,2 
산청군,"12,444 ",344 ,0 ,0 ,341 ,3 
함양군,"12,836 ",410 ,0 ,0 ,407 ,3 
거창군,"16,603 ",441 ,1 ,14 ,440 ,0 
합천군,"17,244 ",525 ,0 ,0 ,525 ,0 
제주합계,"100,397 ",469 ,2 ,28 ,448 ,19 
제주시,"66,690 ",315 ,1 ,15 ,299 ,15 
서귀포시,"33,707 ",154 ,1 ,13 ,149 ,4 
