다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
시·도,"65세 이상 노인인구
(2019.12.31
주민등록 인구기준)",합 계,노 인 복 지 관,,경 로 당,노 인 교 실
,,,시설수,종사자수,,
서울합계,"1,478,664 ","3,942 ",85 ,"2,104 ","3,466 ",391 
종로구,"27,318 ",76 ,3 ,107 ,63 ,10 
중구,"22,974 ",53 ,2 ,62 ,47 ,4 
용산구,"38,346 ",111 ,2 ,42 ,88 ,21 
성동구,"43,796 ",179 ,4 ,82 ,163 ,12 
광진구,"47,681 ",108 ,1 ,63 ,97 ,10 
동대문구,"59,170 ",152 ,1 ,45 ,135 ,16 
중랑구,"65,065 ",142 ,5 ,136 ,126 ,11 
성북구,"70,699 ",190 ,6 ,121 ,173 ,11 
강북구,"60,474 ",117 ,1 ,35 ,99 ,17 
도봉구,"58,664 ",149 ,5 ,112 ,135 ,9 
노원구,"80,854 ",264 ,3 ,138 ,244 ,17 
은평구,"80,567 ",180 ,7 ,167 ,156 ,17 
서대문구,"51,645 ",126 ,4 ,40 ,110 ,12 
마포구,"52,104 ",173 ,4 ,70 ,154 ,15 
양천구,"61,147 ",197 ,4 ,69 ,164 ,29 
강서구,"83,839 ",251 ,5 ,55 ,217 ,29 
구로구,"64,932 ",219 ,2 ,38 ,197 ,20 
금천구,"37,196 ",85 ,3 ,111 ,73 ,9 
영등포구,"56,957 ",205 ,4 ,62 ,174 ,27 
동작구,"61,994 ",156 ,3 ,115 ,139 ,14 
관악구,"74,787 ",134 ,1 ,33 ,114 ,19 
서초구,"57,036 ",152 ,3 ,115 ,140 ,9 
강남구,"70,896 ",195 ,6 ,93 ,167 ,22 
송파구,"87,182 ",190 ,3 ,87 ,170 ,17 
강동구,"63,341 ",138 ,3 ,106 ,121 ,14 
부산합계,"620,123 ","2,522 ",32 ,375 ,"2,327 ",163 
중구,"10,744 ",32 ,2 ,21 ,30 ,0 
서구,"26,069 ",79 ,2 ,25 ,73 ,4 
동구,"22,257 ",81 ,3 ,31 ,73 ,5 
영도구,"30,116 ",85 ,2 ,19 ,70 ,13 
부산진구,"67,133 ",282 ,3 ,34 ,263 ,16 
동래구,"46,863 ",157 ,1 ,12 ,143 ,13 
남구,"51,717 ",192 ,1 ,14 ,179 ,12 
북구,"45,908 ",167 ,1 ,14 ,147 ,19 
해운대구,"66,218 ",265 ,2 ,34 ,244 ,19 
사하구,"55,964 ",202 ,3 ,33 ,191 ,8 
금정구,"46,642 ",146 ,1 ,14 ,132 ,13 
강서구,"15,183 ",167 ,2 ,16 ,160 ,5 
연제구,"37,891 ",135 ,2 ,30 ,120 ,13 
수영구,"35,661 ",99 ,2 ,21 ,88 ,9 
사상구,"36,409 ",146 ,2 ,21 ,133 ,11 
기장군,"25,348 ",287 ,3 ,36 ,281 ,3 
대구합계,"379,277 ","1,567 ",18 ,198 ,"1,523 ",26 
중구,"15,597 ",52 ,1 ,15 ,48 ,3 
동구,"64,014 ",218 ,3 ,30 ,213 ,2 
서구,"36,752 ",95 ,3 ,27 ,82 ,10 
남구,"32,987 ",68 ,1 ,10 ,63 ,4 
북구,"60,120 ",282 ,4 ,45 ,277 ,1 
수성구,"63,474 ",251 ,2 ,17 ,245 ,4 
달서구,"75,775 ",277 ,2 ,26 ,274 ,1 
달성군,"30,558 ",324 ,2 ,28 ,321 ,1 
인천합계,"384,548 ","1,563 ",23 ,437 ,"1,511 ",29 
중구,"19,076 ",87 ,1 ,18 ,83 ,3 
동구,"13,751 ",40 ,2 ,54 ,37 ,1 
미추홀구,"65,642 ",167 ,3 ,34 ,161 ,3 
연수구,"34,346 ",158 ,3 ,58 ,154 ,1 
남동구,"66,423 ",188 ,2 ,64 ,179 ,7 
부평구,"69,549 ",194 ,2 ,81 ,188 ,4 
계양구,"35,043 ",163 ,4 ,40 ,153 ,6 
서구,"53,691 ",256 ,4 ,46 ,249 ,3 
강화군,"21,902 ",239 ,2 ,42 ,236 ,1 
옹진군,"5,125 ",71 ,0 ,0 ,71 ,0 
광주합계,"195,479 ","1,382 ",9 ,281 ,"1,329 ",44 
동구,"21,138 ",120 ,1 ,25 ,113 ,6 
서구,"40,246 ",245 ,1 ,28 ,234 ,10 
남구,"36,162 ",243 ,3 ,150 ,235 ,5 
북구,"61,446 ",395 ,2 ,43 ,373 ,20 
광산구,"36,487 ",379 ,2 ,35 ,374 ,3 
대전합계,"198,691 ",844 ,7 ,241 ,824 ,13 
동구,"40,621 ",165 ,2 ,28 ,161 ,2 
중구,"43,648 ",148 ,1 ,113 ,146 ,1 
서구,"57,201 ",209 ,2 ,26 ,206 ,1 
유성구,"31,182 ",200 ,1 ,54 ,190 ,9 
대덕구,"26,039 ",122 ,1 ,20 ,121 ,0 
울산합계,"132,565 ",855 ,13 ,175 ,823 ,19 
중구,"31,023 ",91 ,2 ,25 ,88 ,1 
남구,"36,318 ",151 ,4 ,68 ,144 ,3 
동구,"18,189 ",64 ,3 ,29 ,60 ,1 
북구,"16,449 ",139 ,2 ,22 ,131 ,6 
울주군,"30,586 ",410 ,2 ,31 ,400 ,8 
세종합계,"31,949 ",202 ,0 ,0 ,196 ,6 
세종시,"31,949 ",202 ,0 ,0 ,196 ,6 
경기합계,"1,651,341 ","10,054 ",63 ,"2,691 ","9,825 ",166 
수원시,"123,647 ",533 ,6 ,283 ,513 ,14 
성남시,"125,807 ",395 ,6 ,203 ,385 ,4 
의정부시,"65,272 ",257 ,3 ,145 ,237 ,17 
안양시,"71,643 ",245 ,1 ,41 ,242 ,2 
부천시,"104,089 ",391 ,3 ,329 ,374 ,14 
광명시,"41,397 ",125 ,2 ,97 ,119 ,4 
평택시,"61,910 ",585 ,4 ,82 ,581 ,0 
동두천시,"18,344 ",117 ,1 ,70 ,110 ,6 
안산시,"66,438 ",265 ,3 ,93 ,258 ,4 
고양시,"135,272 ",570 ,3 ,248 ,560 ,7 
과천시,"8,084 ",31 ,1 ,63 ,29 ,1 
구리시,"25,159 ",135 ,0 ,0 ,131 ,4 
남양주시,"93,007 ",540 ,4 ,32 ,526 ,10 
오산시,"20,257 ",138 ,1 ,32 ,130 ,7 
시흥시,"41,403 ",290 ,1 ,47 ,283 ,6 
군포시,"33,726 ",121 ,2 ,74 ,118 ,1 
의왕시,"20,823 ",113 ,2 ,160 ,109 ,2 
하남시,"33,597 ",149 ,1 ,22 ,148 ,0 
용인시,"133,817 ",855 ,3 ,182 ,851 ,1 
파주시,"60,663 ",413 ,1 ,30 ,409 ,3 
이천시,"29,245 ",410 ,1 ,18 ,407 ,2 
안성시,"30,729 ",470 ,1 ,21 ,467 ,2 
김포시,"52,278 ",353 ,2 ,50 ,345 ,6 
화성시,"69,434 ",710 ,3 ,72 ,685 ,22 
광주시,"46,344 ",292 ,1 ,68 ,291 ,0 
양주시,"33,412 ",273 ,1 ,20 ,257 ,15 
포천시,"27,615 ",313 ,1 ,28 ,304 ,8 
여주시,"23,068 ",325 ,1 ,37 ,322 ,2 
연천군,"10,990 ",108 ,1 ,27 ,106 ,1 
가평군,"15,423 ",169 ,2 ,67 ,166 ,1 
양평군,"28,448 ",363 ,1 ,50 ,362 ,0 
강원합계,"302,886 ","3,268 ",16 ,290 ,"3,195 ",57 
춘천시,"47,645 ",359 ,4 ,90 ,354 ,1 
원주시,"49,983 ",458 ,1 ,27 ,449 ,8 
강릉시,"43,113 ",311 ,2 ,24 ,304 ,5 
동해시,"17,338 ",124 ,2 ,36 ,119 ,3 
태백시,"10,324 ",109 ,1 ,6 ,105 ,3 
속초시,"14,816 ",91 ,1 ,12 ,90 ,0 
삼척시,"16,004 ",243 ,2 ,26 ,237 ,4 
홍천군,"17,173 ",206 ,1 ,27 ,204 ,1 
횡성군,"12,989 ",200 ,0 ,0 ,188 ,12 
영월군,"11,024 ",188 ,0 ,0 ,180 ,8 
