"자치구별(1)",자치구별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"자치구별(1)",자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)",자치구별(2),소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
"자치구별(1)",자치구별(2),병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
"서울시",소계,17610,88029,57,33427,226,18452,8591,9826,57,1,119,20082,4,993,1,430,1,199,65,83,4821,65,53,3533,3612,932,3,6
"서울시",종로구,494,3334,4,2945,2,233,189,113,7,-,-,-,-,-,-,-,-,-,1,40,161,-,-,-,130,3,-,-
"서울시",중구,560,1349,2,690,4,442,233,167,13,-,-,-,-,-,-,-,-,-,6,-,207,-,1,50,94,-,-,-
"서울시",용산구,307,920,1,725,2,112,133,82,2,-,-,-,-,-,-,-,-,-,-,-,106,-,-,-,62,-,1,1
"서울시",성동구,444,1941,1,855,6,434,213,135,-,-,3,517,-,-,-,-,-,-,1,-,127,-,-,-,93,-,-,-
"서울시",광진구,552,2699,2,1099,5,438,268,552,-,-,3,576,-,-,-,-,-,-,2,-,154,-,-,-,118,34,-,-
"서울시",동대문구,607,5617,4,1700,14,1640,260,485,-,-,9,1578,-,-,-,-,-,-,4,26,157,-,1,183,157,-,1,5
"서울시",중랑구,511,3018,3,1043,12,813,237,637,-,-,2,272,-,-,-,-,1,199,-,-,148,-,-,-,108,54,-,-
"서울시",성북구,528,3499,1,1032,6,524,250,409,1,-,6,1309,1,224,-,-,-,-,1,-,149,-,-,-,113,1,-,-
"서울시",강북구,461,2233,1,201,8,736,225,389,-,-,6,870,-,-,-,-,-,-,1,-,124,1,-,-,96,36,-,-
"서울시",도봉구,369,2648,1,417,8,1197,162,140,1,-,5,551,1,160,-,-,-,-,1,-,103,-,2,183,85,-,-,-
"서울시",노원구,725,3489,3,1566,7,416,350,423,-,-,6,977,-,-,-,-,-,-,3,-,195,-,2,85,159,22,-,-
"서울시",은평구,662,3736,2,1004,10,804,320,353,-,-,6,1030,-,-,1,430,-,-,1,-,175,-,2,76,145,39,-,-
"서울시",서대문구,435,3742,2,2661,5,255,208,273,-,-,3,436,-,-,-,-,-,-,2,7,125,-,1,90,89,20,-,-
"서울시",마포구,730,779,-,-,2,179,370,126,1,-,3,379,-,-,-,-,-,-,3,-,200,-,1,50,150,45,-,-
"서울시",양천구,626,2622,3,1196,5,421,279,350,-,-,5,372,-,-,-,-,-,-,4,-,177,-,3,197,150,86,-,-
"서울시",강서구,836,3976,4,974,17,1365,392,551,2,-,4,658,-,-,-,-,-,-,3,-,219,-,4,312,191,116,-,-
"서울시",구로구,559,4675,2,1277,8,663,259,264,2,-,8,1895,1,404,-,-,-,-,1,-,166,-,2,128,110,44,-,-
"서울시",금천구,356,2161,1,242,6,627,158,268,-,-,4,640,-,-,-,-,-,-,-,-,106,-,3,334,78,50,-,-
"서울시",영등포구,756,5601,7,2092,8,869,336,335,8,-,12,2166,-,-,-,-,-,-,1,-,234,-,2,101,148,38,-,-
"서울시",동작구,576,2747,2,1536,5,310,259,285,-,-,3,523,-,-,-,-,-,-,2,-,172,-,1,50,132,43,-,-
"서울시",관악구,693,2353,1,287,10,786,318,476,3,-,3,666,-,-,-,-,-,-,1,-,203,-,2,30,152,108,-,-
"서울시",서초구,1226,3613,1,1356,12,975,626,300,6,-,4,582,-,-,-,-,-,-,5,-,313,8,6,381,252,11,1,-
"서울시",강남구,2643,8700,4,3125,33,2071,1636,1461,5,1,9,1194,-,-,-,-,-,-,15,1,565,56,11,752,365,39,-,-
"서울시",송파구,1165,6687,2,3145,16,1208,558,653,3,-,9,1296,1,205,-,-,-,-,4,-,318,-,4,166,250,14,-,-
"서울시",강동구,789,5890,3,2259,15,934,352,599,3,-,6,1595,-,-,-,-,-,-,3,9,217,-,5,365,185,129,-,-
