다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
시·도,"65세 이상 노인인구
(2020.12.31
주민등록 인구기준)",합 계,노 인 복 지 관,,경 로 당,노 인 교 실
,,,시설수,종사자수,,
청양군,"11,059",304,1,10,303,0
홍성군,"24,005",374,1,12,371,2
예산군,"24,627",380,1,12,379,0
태안군,"19,356",240,3,39,233,4
전북합계,"386,203","6,865",24,730,"6,775",66
전주시,"98,562",649,7,140,635,7
군산시,"50,700",527,2,47,518,7
익산시,"56,167",707,3,139,683,21
정읍시,"30,258",734,3,45,720,11
남원시,"22,694",498,1,80,495,2
김제시,"26,322",626,1,16,624,1
완주군,"21,410",447,0,0,442,5
진안군,"8,898",330,1,16,324,5
무주군,"8,075",270,1,102,269,0
장수군,"7,557",278,1,51,277,0
임실군,"9,952",351,2,73,347,2
순창군,"9,455",372,0,0,371,1
고창군,"18,782",599,1,11,597,1
부안군,"17,371",477,1,10,473,3
전남합계,"435,880","9,179",29,695,"9,107",43
목포시,"37,827",215,4,320,200,11
여수시,"54,587",529,2,104,527,0
순천시,"44,445",685,4,42,678,3
나주시,"25,986",611,2,24,609,0
광양시,"20,188",326,2,33,324,0
담양군,"14,436",366,1,8,365,0
곡성군,"10,185",324,0,0,324,0
구례군,"8,882",277,0,0,277,0
고흥군,"26,298",646,1,9,642,3
보성군,"15,603",448,1,71,447,0
화순군,"16,791",438,1,15,435,2
장흥군,"12,928",408,1,10,407,0
강진군,"12,035",341,0,0,338,3
해남군,"22,293",596,1,15,590,5
영암군,"14,400",459,1,4,458,0
무안군,"17,528",415,2,0,409,4
함평군,"11,720",378,1,10,375,2
영광군,"15,488",379,1,0,378,0
장성군,"13,400",340,1,0,339,0
완도군,"16,244",306,1,10,305,0
진도군,"10,325",279,2,20,277,0
신안군,"14,291",413,0,0,403,10
경북합계,"573,715","8,261",21,183,"8,129",111
포항시,"87,960",634,1,13,621,12
경주시,"57,313",629,1,9,624,4
김천시,"32,520",526,1,21,523,2
안동시,"39,193",550,1,7,531,18
구미시,"39,998",416,1,9,413,2
영주시,"28,146",368,1,17,359,8
영천시,"28,871",427,1,1,419,7
상주시,"30,472",590,1,4,588,1
문경시,"21,600",393,1,6,385,7
경산시,"44,579",396,2,28,381,13
군위군,"9,461",212,1,8,211,0
의성군,"21,478",489,3,23,485,1
청송군,"9,382",223,0,0,217,6
영양군,"6,278",173,0,0,173,0
영덕군,"13,750",244,0,0,242,2
청도군,"16,027",318,1,4,316,1
고령군,"9,941",207,0,0,206,1
성주군,"13,971",286,0,0,285,1
칠곡군,"18,335",262,1,2,258,3
예천군,"16,844",373,1,13,366,6
봉화군,"11,567",263,1,15,256,6
울진군,"13,643",256,1,2,248,7
울릉군,"2,386",26,1,1,22,3
경남합계,"580,258","7,563",19,269,"7,457",87
창원시,"150,905","1,049",8,111,"1,015",26
진주시,"59,032",553,3,22,539,11
통영시,"25,137",252,0,0,251,1
사천시,"24,604",343,0,0,338,5
김해시,"61,857",565,3,80,561,1
밀양시,"29,887",434,0,0,433,1
거제시,"26,869",327,0,0,316,11
양산시,"48,495",313,2,32,307,4
의령군,"9,921",293,0,0,293,0
함안군,"16,086",334,0,0,332,2
창녕군,"19,105",401,0,0,401,0
고성군,"16,095",326,0,0,323,3
남해군,"16,258",268,1,3,253,14
하동군,"15,490",385,1,7,382,2
산청군,"12,833",345,0,0,342,3
함양군,"13,227",411,0,0,408,3
거창군,"17,026",439,1,14,438,0
합천군,"17,431",525,0,0,525,0
제주합계,"106,154",470,2,28,448,20
제주시,"70,720",315,1,15,299,15
서귀포시,"35,434",155,1,13,149,5
