"동별(1)",동별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",강북구,144277,317695,154638,163057,313954,153235,160719,3741,1403,2338,2.18,60577,145896,311569,151466,160103,308055,150143,157912,3514,1323,2191,2.11,63422,144536,302563,146984,155579,299182,145705,153477,3381,1279,2102,2.07,64333,144313,297702,144037,153665,293660,142567,151093,4042,1470,2572,2.03,66307,143560,292977,141185,151792,288113,139514,148599,4864,1671,3193,2.01,68617
"합계",도봉구,138508,335631,163961,171670,333362,163051,170311,2269,910,1359,2.41,58714,139114,327361,159420,167941,325257,158620,166637,2104,800,1304,2.34,62059,138656,319373,155221,164152,317366,154487,162879,2007,734,1273,2.29,64160,138356,313989,152175,161814,311694,151398,160296,2295,777,1518,2.25,66998,138261,309494,149675,159819,306948,148796,158152,2546,879,1667,2.22,70436
"합계",노원구,216966,537303,259810,277493,532905,257923,274982,4398,1887,2511,2.46,80923,218270,527032,254188,272844,523037,252383,270654,3995,1805,2190,2.40,85489,217378,514946,247813,267133,510956,246053,264903,3990,1760,2230,2.35,88345,217540,508014,244010,264004,503734,242145,261589,4280,1865,2415,2.32,92040,217904,502925,241099,261826,498213,239117,259096,4712,1982,2730,2.29,96422
"합계",은평구,207681,484546,233360,251186,480032,231528,248504,4514,1832,2682,2.31,80738,213914,484043,231998,252045,479835,230279,249556,4208,1719,2489,2.24,85187,214711,477173,228024,249149,473307,226458,246849,3866,1566,2300,2.20,87241,213876,470602,224163,246439,466746,222592,244154,3856,1571,2285,2.18,89650,215721,470869,223330,247539,466770,221725,245045,4099,1605,2494,2.16,93817
"합계",서대문구,140157,323171,153215,169956,309397,148663,160734,13774,4552,9222,2.21,52074,144838,322952,153152,169800,312173,149360,162813,10779,3792,6987,2.16,54204,143647,315659,149507,166152,304819,145694,159125,10840,3813,7027,2.12,54268,145797,319554,150094,169460,306337,145816,160521,13217,4278,8939,2.10,55996,146845,320629,149879,170750,306231,145404,160827,14398,4475,9923,2.09,58113
"합계",마포구,175023,385925,181303,204622,374035,176891,197144,11890,4412,7478,2.14,52429,178482,381858,178977,202881,371890,175150,196740,9968,3827,6141,2.08,54331,179861,378686,177233,201453,368905,173504,195401,9781,3729,6052,2.05,54582,180084,375585,175006,200579,364638,171043,193595,10947,3963,6984,2.02,55914,181090,375162,174073,201089,363697,169990,193707,11465,4083,7382,2.01,57895
"합계",양천구,177256,462285,227019,235266,458165,225186,232979,4120,1833,2287,2.58,61264,180633,457781,224379,233402,454251,222824,231427,3530,1555,1975,2.51,65670,181404,450487,220537,229950,447302,219214,228088,3185,1323,1862,2.47,68627,181187,444010,216975,227035,440881,215682,225199,3129,1293,1836,2.43,72393,180695,439252,214161,225091,436028,212835,223193,3224,1326,1898,2.41,76317
"합계",강서구,262708,598273,289691,308582,591796,286563,305233,6477,3128,3349,2.25,84077,266982,585901,282686,303215,580185,280034,300151,5716,2652,3064,2.17,88984,271175,579768,278720,301048,574315,276292,298023,5453,2428,3025,2.12,92558,273697,574638,275585,299053,569166,273203,295963,5472,2382,3090,2.08,97128,274084,568826,272338,296488,563058,269822,293236,5768,2516,3252,2.05,102096
"합계",구로구,176568,439371,219602,219769,406664,200987,205677,32707,18615,14092,2.30,65779,180531,432488,215424,217064,404408,199673,204735,28080,15751,12329,2.24,70198,180929,421163,208873,212290,396754,195537,201217,24409,13336,11073,2.19,72611,183655,418418,206632,211786,395315,194274,201041,23103,12358,10745,2.15,75890,184096,415651,204715,210936,392405,192341,200064,23246,12374,10872,2.13,79984
"합계",금천구,110622,251820,128954,122866,232810,118209,114601,19010,10745,8265,2.10,37660,114715,247835,126141,121694,231733,117226,114507,16102,8915,7187,2.02,39842,117595,244891,124110,120781,230811,116527,114284,14080,7583,6497,1.96,41041,119583,242818,122775,120043,229642,115786,113856,13176,6989,6187,1.92,42928,120381,241105,121592,119513,227481,114414,113067,13624,7178,6446,1.89,45342
"합계",영등포구,174806,400986,200986,200000,367678,182438,185240,33308,18548,14760,2.10,57872,184714,407367,202969,204398,379480,187647,191833,27887,15322,12565,2.05,61688,187020,400908,198740,202168,376837,185926,190911,24071,12814,11257,2.01,62516,188832,398085,196264,201821,375675,184660,191015,22410,11604,10806,1.99,64810,190737,397800,195493,202307,374794,183726,191068,23006,11767,11239,1.96,67509
"합계",동작구,180753,408912,197706,211206,395963,191976,203987,12949,5730,7219,2.19,62226,184229,401572,193718,207854,391220,189152,202068,10352,4566,5786,2.12,65190,184812,394364,190241,204123,385483,186426,199057,8881,3815,5066,2.09,66613,185773,390432,188080,202352,380596,184030,196566,9836,4050,5786,2.05,68231,186675,389714,187623,202091,378769,183153,195616,10945,4470,6475,2.03,70474
"합계",관악구,268559,517334,259194,258140,500094,251009,249085,17240,8185,9055,1.86,75194,274811,509803,255211,254592,495060,248339,246721,14743,6872,7871,1.80,78875,276597,499449,250058,249391,485699,243991,241708,13750,6067,7683,1.76,79871,283623,501226,250687,250539,486752,244748,242004,14474,5939,8535,1.72,82447,284578,497883,249026,248857,481956,242651,239305,15927,6375,9552,1.69,85418
"합계",서초구,173199,435107,208181,226926,430826,206039,224787,4281,2142,2139,2.49,57136,173502,429025,205282,223743,425126,203359,221767,3899,1923,1976,2.45,60169,170244,416167,198914,217253,412279,197034,215245,3888,1880,2008,2.42,60678,167749,408451,195168,213283,404325,193159,211166,4126,2009,2117,2.41,62347,169884,412078,196391,215687,407664,194291,213373,4414,2100,2314,2.40,65661
"합계",강남구,232981,550209,263345,286864,545169,260806,284363,5040,2539,2501,2.34,71025,234872,544055,260378,283677,539231,257999,281232,4824,2379,2445,2.30,75096,234233,537800,257280,280520,533042,255047,277995,4758,2233,2525,2.28,78226,232777,534103,255363,278740,529102,253072,276030,5001,2291,2710,2.27,81715,239775,550282,262991,287291,544873,260520,284353,5409,2471,2938,2.27,86606
"합계",송파구,278711,682741,330412,352329,675961,327164,348797,6780,3248,3532,2.43,87334,281959,673926,325080,348846,667960,322299,345661,5966,2781,3185,2.37,93483,282417,663965,319895,344070,658338,317346,340992,5627,2549,3078,2.33,97691,284853,664514,319743,344771,658801,317180,341621,5713,2563,3150,2.31,103573,285927,660025,316981,343044,654166,314347,339819,5859,2634,3225,2.29,108894
"합계",강동구,183390,440390,217338,223052,436067,215335,220732,4323,2003,2320,2.38,63452,196499,463998,228044,235954,459970,226216,233754,4028,1828,2200,2.34,70019,201613,466472,228682,237790,462664,227002,235662,3808,1680,2128,2.29,74070,202169,464037,226975,237062,460067,225221,234846,3970,1754,2216,2.28,78340,203734,463318,226237,237081,459167,224423,234744,4151,1814,2337,2.25,82984
