"동별(1)",동별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"동별(1)",동별(2),전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
"동별(1)",동별(2),소계,남자,여자,소계,남자,여자,내국인,내국인,내국인,등록외국인,등록외국인,등록외국인,소계,남자,여자,소계,남자,여자,내국인,내국인,내국인,등록외국인,등록외국인,등록외국인,소계,남자,여자,소계,남자,여자,내국인,내국인,내국인,등록외국인,등록외국인,등록외국인,소계,남자,여자,소계,남자,여자,내국인,내국인,내국인,등록외국인,등록외국인,등록외국인,소계,남자,여자,소계,남자,여자,내국인,내국인,내국인,등록외국인,등록외국인,등록외국인
"동별(1)",동별(2),소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자
"합계",강북구,317695,154638,163057,60577,26032,34545,60474,25981,34493,103,51,52,311569,151466,160103,63422,27275,36147,63313,27225,36088,109,50,59,302563,146984,155579,64333,27734,36599,64218,27679,36539,115,55,60,297702,144037,153665,66307,28618,37689,66170,28550,37620,137,68,69,292977,141185,151792,68617,29561,39056,68473,29489,38984,144,72,72
"합계",도봉구,335631,163961,171670,58714,26286,32428,58664,26258,32406,50,28,22,327361,159420,167941,62059,27726,34333,62009,27704,34305,50,22,28,319373,155221,164152,64160,28653,35507,64114,28637,35477,46,16,30,313989,152175,161814,66998,29963,37035,66942,29942,37000,56,21,35,309494,149675,159819,70436,31415,39021,70374,31395,38979,62,20,42
"합계",노원구,537303,259810,277493,80923,34024,46899,80854,33996,46858,69,28,41,527032,254188,272844,85489,36080,49409,85420,36050,49370,69,30,39,514946,247813,267133,88345,37391,50954,88271,37358,50913,74,33,41,508014,244010,264004,92040,39035,53005,91946,38990,52956,94,45,49,502925,241099,261826,96422,40967,55455,96309,40914,55395,113,53,60
"합계",은평구,484546,233360,251186,80738,34987,45751,80567,34899,45668,171,88,83,484043,231998,252045,85187,36850,48337,85010,36758,48252,177,92,85,477173,228024,249149,87241,37727,49514,87038,37620,49418,203,107,96,470602,224163,246439,89650,38644,51006,89422,38525,50897,228,119,109,470869,223330,247539,93817,40374,53443,93565,40246,53319,252,128,124
"합계",서대문구,323171,153215,169956,52074,22030,30044,51645,21817,29828,429,213,216,322952,153152,169800,54204,22990,31214,53756,22761,30995,448,229,219,315659,149507,166152,54268,23083,31185,53822,22856,30966,446,227,219,319554,150094,169460,55996,23876,32120,55502,23621,31881,494,255,239,320629,149879,170750,58113,24868,33245,57588,24603,32985,525,265,260
"합계",마포구,385925,181303,204622,52429,21954,30475,52104,21786,30318,325,168,157,381858,178977,202881,54331,22800,31531,54002,22632,31370,329,168,161,378686,177233,201453,54582,23010,31572,54231,22837,31394,351,173,178,375585,175006,200579,55914,23544,32370,55533,23355,32178,381,189,192,375162,174073,201089,57895,24358,33537,57504,24166,33338,391,192,199
"합계",양천구,462285,227019,235266,61264,27446,33818,61147,27386,33761,117,60,57,457781,224379,233402,65670,29487,36183,65541,29422,36119,129,65,64,450487,220537,229950,68627,30893,37734,68483,30815,37668,144,78,66,444010,216975,227035,72393,32495,39898,72235,32410,39825,158,85,73,439252,214161,225091,76317,34234,42083,76126,34140,41986,191,94,97
"합계",강서구,598273,289691,308582,84077,37157,46920,83839,37014,46825,238,143,95,585901,282686,303215,88984,39204,49780,88733,39051,49682,251,153,98,579768,278720,301048,92558,40806,51752,92336,40685,51651,222,121,101,574638,275585,299053,97128,42760,54368,96880,42638,54242,248,122,126,568826,272338,296488,102096,44913,57183,101808,44769,57039,288,144,144
"합계",구로구,439371,219602,219769,65779,30089,35690,64932,29619,35313,847,470,377,432488,215424,217064,70198,31986,38212,69201,31419,37782,997,567,430,421163,208873,212290,72611,33094,39517,71445,32426,39019,1166,668,498,418418,206632,211786,75890,34455,41435,74491,33658,40833,1399,797,602,415651,204715,210936,79984,36288,43696,78377,35372,43005,1607,916,691
"합계",금천구,251820,128954,122866,37660,17184,20476,37196,16937,20259,464,247,217,247835,126141,121694,39842,18153,21689,39314,17869,21445,528,284,244,244891,124110,120781,41041,18795,22246,40442,18473,21969,599,322,277,242818,122775,120043,42928,19691,23237,42226,19316,22910,702,375,327,241105,121592,119513,45342,20814,24528,44531,20372,24159,811,442,369
"합계",영등포구,400986,200986,200000,57872,26142,31730,56957,25654,31303,915,488,427,407367,202969,204398,61688,27856,33832,60663,27298,33365,1025,558,467,400908,198740,202168,62516,28385,34131,61295,27701,33594,1221,684,537,398085,196264,201821,64810,29472,35338,63349,28659,34690,1461,813,648,397800,195493,202307,67509,30726,36783,65843,29804,36039,1666,922,744
"합계",동작구,408912,197706,211206,62226,27087,35139,61994,26970,35024,232,117,115,401572,193718,207854,65190,28407,36783,64928,28274,36654,262,133,129,394364,190241,204123,66613,29124,37489,66320,28979,37341,293,145,148,390432,188080,202352,68231,29900,38331,67872,29722,38150,359,178,181,389714,187623,202091,70474,30730,39744,70089,30533,39556,385,197,188
"합계",관악구,517334,259194,258140,75194,33591,41603,74787,33390,41397,407,201,206,509803,255211,254592,78875,35108,43767,78430,34880,43550,445,228,217,499449,250058,249391,79871,35618,44253,79371,35367,44004,500,251,249,501226,250687,250539,82447,36638,45809,81848,36340,45508,599,298,301,497883,249026,248857,85418,37963,47455,84762,37634,47128,656,329,327
"합계",서초구,435107,208181,226926,57136,25886,31250,57036,25835,31201,100,51,49,429025,205282,223743,60169,27205,32964,60072,27155,32917,97,50,47,416167,198914,217253,60678,27460,33218,60574,27409,33165,104,51,53,408451,195168,213283,62347,28237,34110,62228,28173,34055,119,64,55,412078,196391,215687,65661,29709,35952,65541,29649,35892,120,60,60
"합계",강남구,550209,263345,286864,71025,31935,39090,70896,31869,39027,129,66,63,544055,260378,283677,75096,33656,41440,74959,33589,41370,137,67,70,537800,257280,280520,78226,35248,42978,78078,35174,42904,148,74,74,534103,255363,278740,81715,36845,44870,81564,36766,44798,151,79,72,550282,262991,287291,86606,38884,47722,86434,38798,47636,172,86,86
"합계",송파구,682741,330412,352329,87334,40350,46984,87182,40272,46910,152,78,74,673926,325080,348846,93483,43116,50367,93309,43036,50273,174,80,94,663965,319895,344070,97691,45110,52581,97503,45021,52482,188,89,99,664514,319743,344771,103573,47747,55826,103361,47639,55722,212,108,104,660025,316981,343044,108894,50154,58740,108643,50027,58616,251,127,124
"합계",강동구,440390,217338,223052,63452,28968,34484,63341,28918,34423,111,50,61,463998,228044,235954,70019,31931,38088,69903,31876,38027,116,55,61,466472,228682,237790,74070,33734,40336,73943,33668,40275,127,66,61,464037,226975,237062,78340,35630,42710,78191,35552,42639,149,78,71,463318,226237,237081,82984,37850,45134,82815,37764,45051,169,86,83
