노인여가복지시설 총괄표(시･군･구),,,,,,
"(단위 : 개소, 명)",,,,,,"(단위 : 개소, 명)"
시 · 도,65세 이상 노인인구,합 계,노 인 복 지 관,,경 로 당,노 인 교 실
,(2018.12.31,,,,,
,주민등록 인구기준),,시 설 수,종 사 자 수,,
부여군,"21,508",463,0,0,459,4
서천군,"18,048",342,1,19,334,7
청양군,"10,516",301,1,10,300,0
홍성군,"22,363",374,1,65,370,3
예산군,"23,067",375,1,11,373,1
태안군,"17,967",235,2,33,230,3
전북 합계,"358,410","6,795",22,431,"6,699",74
전주시,"88,563",625,6,130,611,8
군산시,"45,913",521,2,32,514,5
익산시,"51,541",707,3,60,679,25
정읍시,"28,804",706,2,33,694,10
남원시,"21,444",493,1,19,490,2
김제시,"25,257",624,1,16,622,1
완주군,"19,780",445,0,0,437,8
진안군,"8,435",333,1,15,327,5
무주군,"7,715",272,1,61,270,1
장수군,"7,198",276,1,6,275,0
임실군,"9,770",349,2,46,345,2
순창군,"9,279",374,1,2,372,1
고창군,"18,076",592,1,11,591,0
부안군,"16,635",478,0,0,472,6
전남 합계,"413,132","9,092",29,366,"9,003",60
목포시,"34,821",221,4,138,197,20
여수시,"49,609",524,3,38,521,0
순천시,"40,542",670,3,29,665,2
나주시,"24,658",605,2,22,603,0
광양시,"18,319",311,2,19,309,0
담양군,"13,816",362,1,7,361,0
곡성군,"10,028",325,0,0,325,0
구례군,"8,510",276,0,0,276,0
고흥군,"25,568",642,1,9,639,2
보성군,"15,376",443,1,15,442,0
화순군,"15,996",436,1,15,433,2
장흥군,"12,611",405,1,11,404,0
강진군,"11,828",341,0,0,337,4
해남군,"21,811",590,1,12,584,5
영암군,"13,835",449,1,7,448,0
무안군,"16,599",411,1,0,404,6
함평군,"11,421",375,1,8,370,4
영광군,"15,045",372,1,0,371,0
장성군,"12,936",340,1,4,339,0
완도군,"15,734",310,1,7,304,5
진도군,"10,111",274,2,24,272,0
신안군,"13,958",410,1,1,399,10
경북 합계,"529,349","8,131",19,182,"7,998",114
포항시,"77,024",621,1,14,610,10
경주시,"52,504",620,1,14,616,3
김천시,"30,318",517,1,19,516,0
안동시,"36,850",540,0,0,523,17
구미시,"35,432",409,1,11,406,2
영주시,"26,341",353,1,15,344,8
영천시,"26,844",425,1,1,417,7
상주시,"29,100",588,1,6,582,5
문경시,"20,324",387,1,9,378,8
경산시,"40,066",392,2,31,377,13
군위군,"8,983",209,0,0,209,0
의성군,"20,570",488,3,22,484,1
청송군,"8,957",218,0,0,212,6
영양군,"6,084",164,0,0,161,3
영덕군,"13,287",240,0,0,239,1
청도군,"15,172",316,1,5,314,1
고령군,"9,380",204,0,0,203,1
성주군,"13,142",281,0,0,279,2
칠곡군,"16,692",255,1,3,251,3
예천군,"15,876",364,1,12,358,5
봉화군,"11,040",257,1,15,250,6
울진군,"13,073",256,1,2,247,8
울릉군,"2,290",27,1,3,22,4
경남 합계,"523,165","7,483",23,255,"7,378",82
창원시,"131,613","1,028",5,71,995,28
진주시,"53,260",548,4,30,532,12
통영시,"22,844",242,1,12,239,2
사천시,"22,641",337,1,1,336,0
김해시,"53,753",558,3,60,553,2
밀양시,"27,561",424,0,0,422,2
거제시,"23,456",313,0,0,313,0
양산시,"41,664",306,2,29,299,5
의령군,"9,584",296,1,5,292,3
함안군,"14,825",335,0,0,333,2
창녕군,"18,034",403,1,5,401,1
고성군,"15,158",325,1,3,320,4
남해군,"15,910",263,1,3,251,11
하동군,"14,849",383,1,21,380,2
산청군,"12,091",345,1,0,341,3
함양군,"12,620",409,0,0,406,3
거창군,"16,214",443,1,15,441,1
합천군,"17,088",525,0,0,524,1
제주 합계,"96,207",458,2,21,438,18
제주시,"63,813",307,1,10,291,15
서귀포시,"32,394",151,1,11,147,3
,,,,,,
